,id,date,zipcode,condition,grade,price,median price,status,season,sell price,profit
0,6447300345,2015-04-06,98039,regular,average design,1160000.0,1905000.0,buy,spring,1508000.0,348000.0
1,3024059044,2014-09-09,98040,good,average design,990000.0,993750.0,buy,autumn,1287000.0,297000.0
2,3622910190,2014-05-21,98040,good,average design,895000.0,993750.0,buy,spring,1163500.0,268500.0
3,2581300055,2014-11-21,98040,good,average design,885000.0,993750.0,buy,autumn,1150500.0,265500.0
4,9808590210,2014-05-13,98004,regular,average design,860000.0,1150000.0,buy,spring,1118000.0,258000.0
5,4099500605,2015-04-17,98040,regular,average design,840000.0,993750.0,buy,spring,1092000.0,252000.0
6,2141330050,2014-05-20,98006,good,average design,760000.0,760184.5,buy,spring,988000.0,228000.0
7,2424059116,2014-11-05,98006,good,average design,740000.0,760184.5,buy,autumn,962000.0,222000.0
8,8965500900,2015-02-13,98006,regular,average design,725000.0,760184.5,buy,autumn,942500.0,217500.0
9,1929300415,2014-11-19,98109,good,average design,710000.0,736000.0,buy,autumn,923000.0,213000.0
10,5457300703,2015-03-20,98109,regular,average design,707500.0,736000.0,buy,spring,919750.0,212250.0
11,2024059059,2014-10-10,98006,good,average design,693000.0,760184.5,buy,autumn,900900.0,207900.0
12,1524059027,2014-05-06,98006,regular,average design,675000.0,760184.5,buy,spring,877500.0,202500.0
13,5037300130,2015-05-04,98199,good,average design,672500.0,689900.0,buy,spring,874250.0,201750.0
14,3764500090,2014-05-21,98033,regular,average design,655000.0,678000.0,buy,spring,851500.0,196500.0
15,9201000120,2015-04-22,98075,good,average design,650000.0,739999.5,buy,spring,845000.0,195000.0
16,4151800195,2015-03-30,98033,good,average design,650000.0,678000.0,buy,spring,845000.0,195000.0
17,5016001060,2014-05-30,98112,regular,average design,650000.0,917500.0,buy,spring,845000.0,195000.0
18,7011201004,2014-05-29,98119,regular,average design,645000.0,744975.0,buy,spring,838500.0,193500.0
19,2141310490,2015-01-02,98006,regular,average design,625000.0,760184.5,buy,autumn,812500.0,187500.0
20,2024059084,2015-03-13,98006,good,average design,625000.0,760184.5,buy,spring,812500.0,187500.0
21,9542100135,2014-11-12,98005,regular,average design,620000.0,765475.0,buy,autumn,806000.0,186000.0
22,3886902505,2015-03-11,98033,regular,average design,616300.0,678000.0,buy,spring,801190.0,184890.0
23,1720800305,2014-11-19,98033,good,average design,611900.0,678000.0,buy,autumn,795470.0,183570.0
24,6905200050,2014-10-09,98119,regular,average design,606400.0,744975.0,buy,autumn,788320.0,181920.0
25,1689401526,2015-03-23,98109,regular,average design,605000.0,736000.0,buy,spring,786500.0,181500.0
26,2351800065,2015-02-17,98199,regular,average design,590000.0,689900.0,buy,autumn,767000.0,177000.0
27,7011201333,2014-09-17,98119,regular,average design,590000.0,744975.0,buy,autumn,767000.0,177000.0
28,7011201016,2014-10-01,98119,regular,average design,585000.0,744975.0,buy,autumn,760500.0,175500.0
29,824069121,2014-12-22,98075,regular,average design,585000.0,739999.5,buy,autumn,760500.0,175500.0
30,2771600350,2014-05-06,98199,regular,average design,575000.0,689900.0,buy,spring,747500.0,172500.0
31,8653600050,2015-02-25,98074,good,average design,572000.0,645000.0,buy,autumn,743600.0,171600.0
32,1423069077,2014-09-15,98027,good,average design,570000.0,571000.0,buy,autumn,741000.0,171000.0
33,2464400435,2015-04-20,98115,regular,average design,567000.0,570000.0,buy,spring,737100.0,170100.0
34,7010700245,2014-12-31,98199,regular,average design,565000.0,689900.0,buy,autumn,734500.0,169500.0
35,5101404444,2015-04-14,98115,regular,average design,564000.0,570000.0,buy,spring,733200.0,169200.0
36,438000015,2014-09-16,98115,regular,average design,555000.0,570000.0,buy,autumn,721500.0,166500.0
37,1021000060,2015-03-04,98116,good,average design,550500.0,565500.0,buy,spring,715650.0,165150.0
38,3388300730,2014-09-10,98027,good,average design,550388.0,571000.0,buy,autumn,715504.4,165116.40000000002
39,952006680,2015-01-29,98116,regular,average design,550000.0,565500.0,buy,autumn,715000.0,165000.0
40,1428001160,2015-04-20,98053,regular,average design,550000.0,635000.0,buy,spring,715000.0,165000.0
41,8857320120,2015-03-10,98008,good,average design,542000.0,545000.0,buy,spring,704600.0,162600.0
42,9272201318,2015-04-14,98116,regular,average design,540000.0,565500.0,buy,spring,702000.0,162000.0
43,9523102420,2014-09-22,98103,good,average design,535000.0,550000.0,buy,autumn,695500.0,160500.0
44,4038700720,2014-09-18,98008,regular,average design,525126.0,545000.0,buy,autumn,682663.8,157537.80000000005
45,1310930100,2015-03-18,98052,regular,average design,525000.0,615000.0,buy,spring,682500.0,157500.0
46,7936000252,2015-05-11,98116,good,average design,521000.0,565500.0,buy,spring,677300.0,156300.0
47,579003610,2015-02-24,98117,good,average design,517500.0,545000.0,buy,autumn,672750.0,155250.0
48,7280300080,2015-02-02,98177,regular,average design,510000.0,557000.0,buy,autumn,663000.0,153000.0
49,6421100592,2014-09-10,98052,regular,average design,510000.0,615000.0,buy,autumn,663000.0,153000.0
50,3204300225,2014-11-03,98112,regular,average design,508000.0,917500.0,buy,autumn,660400.0,152400.0
51,194000565,2015-04-09,98116,regular,average design,505000.0,565500.0,buy,spring,656500.0,151500.0
52,1972202023,2014-09-04,98103,regular,average design,504500.0,550000.0,buy,autumn,655850.0,151350.0
53,8819900055,2015-03-30,98105,good,average design,503000.0,675000.0,buy,spring,653900.0,150900.0
54,3508100161,2015-03-27,98116,regular,average design,500000.0,565500.0,buy,spring,650000.0,150000.0
55,7277100055,2015-02-24,98177,regular,average design,500000.0,557000.0,buy,autumn,650000.0,150000.0
56,952001660,2014-09-16,98116,regular,average design,500000.0,565500.0,buy,autumn,650000.0,150000.0
57,8924100430,2014-12-24,98115,regular,average design,500000.0,570000.0,buy,autumn,650000.0,150000.0
58,2523069134,2015-04-06,98027,good,average design,495000.0,571000.0,buy,spring,643500.0,148500.0
59,5101402276,2014-12-17,98115,regular,average design,495000.0,570000.0,buy,autumn,643500.0,148500.0
60,6169901185,2014-05-20,98119,regular,average design,490000.0,744975.0,buy,spring,637000.0,147000.0
61,8024201714,2014-11-17,98115,regular,average design,489000.0,570000.0,buy,autumn,635700.0,146700.0
62,5101402312,2015-04-23,98115,regular,average design,485000.0,570000.0,buy,spring,630500.0,145500.0
63,7853220910,2014-09-15,98065,regular,average design,485000.0,500000.0,buy,autumn,630500.0,145500.0
64,9287801455,2014-10-28,98107,good,average design,484950.0,529975.0,buy,autumn,630435.0,145485.0
65,3013300288,2014-09-30,98136,regular,average design,478500.0,489950.0,buy,autumn,622050.0,143550.0
66,1972202005,2014-05-21,98103,good,average design,475000.0,550000.0,buy,spring,617500.0,142500.0
67,1225039052,2014-11-12,98107,regular,average design,465000.0,529975.0,buy,autumn,604500.0,139500.0
68,194000575,2014-10-14,98116,regular,average design,455000.0,565500.0,buy,autumn,591500.0,136500.0
69,5101400838,2014-09-16,98115,good,average design,450000.0,570000.0,buy,autumn,585000.0,135000.0
70,1695900025,2015-03-27,98144,good,average design,450000.0,452500.0,buy,spring,585000.0,135000.0
71,2487200680,2015-02-24,98136,regular,average design,447000.0,489950.0,buy,autumn,581100.0,134100.0
72,8682310470,2015-01-07,98053,regular,average design,445000.0,635000.0,buy,autumn,578500.0,133500.0
73,4140900050,2015-01-26,98028,regular,average design,440000.0,442500.0,buy,autumn,572000.0,132000.0
74,579000550,2014-11-07,98117,regular,average design,440000.0,545000.0,buy,autumn,572000.0,132000.0
75,930000425,2015-03-01,98177,regular,average design,440000.0,557000.0,buy,spring,572000.0,132000.0
76,8832900155,2015-04-14,98028,regular,average design,439000.0,442500.0,buy,spring,570700.0,131700.0
77,7558300170,2014-12-12,98034,good,average design,439000.0,446000.0,buy,autumn,570700.0,131700.0
78,3363900111,2014-12-03,98103,good,average design,437500.0,550000.0,buy,autumn,568750.0,131250.0
79,4319200450,2015-01-20,98136,regular,average design,436000.0,489950.0,buy,autumn,566800.0,130800.0
80,8550001515,2014-10-01,98070,good,average design,429592.0,465000.0,buy,autumn,558469.6,128877.59999999998
81,2125400160,2014-11-14,98034,regular,average design,427800.0,446000.0,buy,autumn,556140.0,128340.0
82,7853340960,2015-02-27,98065,regular,average design,425590.0,500000.0,buy,autumn,553267.0,127677.0
83,9828200147,2015-04-10,98122,regular,average design,425000.0,574000.0,buy,spring,552500.0,127500.0
84,3797000830,2014-05-30,98103,good,average design,425000.0,550000.0,buy,spring,552500.0,127500.0
85,5100402310,2014-12-12,98115,good,average design,425000.0,570000.0,buy,autumn,552500.0,127500.0
86,2493200370,2014-11-12,98136,regular,average design,415000.0,489950.0,buy,autumn,539500.0,124500.0
87,425079100,2014-12-31,98014,regular,average design,406500.0,415000.0,buy,autumn,528450.0,121950.0
88,221029019,2015-04-28,98070,regular,average design,400000.0,465000.0,buy,spring,520000.0,120000.0
89,5312100040,2015-04-23,98144,good,average design,400000.0,452500.0,buy,spring,520000.0,120000.0
90,1455100116,2015-02-02,98125,good,average design,397500.0,425000.0,buy,autumn,516750.0,119250.0
91,8024201795,2014-11-17,98115,regular,average design,397000.0,570000.0,buy,autumn,516100.0,119100.0
92,7795810110,2015-05-12,98045,good,average design,390000.0,399500.0,buy,spring,507000.0,117000.0
93,627300145,2014-08-14,98004,regular,average design,1148000.0,1150000.0,buy,summer,1262800.0,114800.0
94,7631800110,2014-09-18,98166,regular,average design,380000.0,392500.0,buy,autumn,494000.0,114000.0
95,5100400315,2014-05-23,98115,regular,average design,379000.0,570000.0,buy,spring,492700.0,113700.0
96,8910500226,2015-04-09,98133,regular,average design,370350.0,375000.0,buy,spring,481455.0,111105.0
97,7278100665,2015-02-04,98177,good,average design,370000.0,557000.0,buy,autumn,481000.0,111000.0
98,2123039032,2014-10-27,98070,good,average design,369900.0,465000.0,buy,autumn,480870.0,110970.0
99,3918400028,2014-10-21,98133,regular,average design,367000.0,375000.0,buy,autumn,477100.0,110100.0
100,9285800801,2014-09-26,98126,regular,average design,364500.0,396587.5,buy,autumn,473850.0,109350.0
101,1604601855,2015-02-13,98118,regular,average design,360500.0,370000.0,buy,autumn,468650.0,108150.0
102,2624039114,2015-04-13,98136,regular,average design,360000.0,489950.0,buy,spring,468000.0,108000.0
103,1925069006,2014-12-03,98074,good,average design,355000.0,645000.0,buy,autumn,461500.0,106500.0
104,2424400130,2014-05-18,98065,regular,average design,352500.0,500000.0,buy,spring,458250.0,105750.0
