,id,date,zipcode,condition,grade,price,median price,status
0,9282801950,2014-08-18,98178,regular,average design,279000.0,279500.0,buy
1,4136800205,2015-02-19,98178,regular,average design,258000.0,279500.0,buy
2,4058801230,2015-03-05,98178,regular,average design,256000.0,279500.0,buy
3,1455100116,2015-02-02,98125,good,average design,397500.0,425000.0,buy
4,8902000201,2015-02-19,98125,regular,average design,338500.0,425000.0,buy
5,8832900155,2015-04-14,98028,regular,average design,439000.0,442500.0,buy
6,4140900050,2015-01-26,98028,regular,average design,440000.0,442500.0,buy
7,3013300288,2014-09-30,98136,regular,average design,478500.0,489950.0,buy
8,2624039114,2015-04-13,98136,regular,average design,360000.0,489950.0,buy
9,2493200370,2014-11-12,98136,regular,average design,415000.0,489950.0,buy
10,4319200450,2015-01-20,98136,regular,average design,436000.0,489950.0,buy
11,2487200680,2015-02-24,98136,regular,average design,447000.0,489950.0,buy
12,1925069006,2014-12-03,98074,good,average design,355000.0,645000.0,buy
13,1825069031,2014-08-14,98074,good,average design,550000.0,645000.0,buy
14,7527000090,2014-08-14,98074,regular,average design,540000.0,645000.0,buy
15,6646200770,2014-07-24,98074,regular,average design,610000.0,645000.0,buy
16,8653600050,2015-02-25,98074,good,average design,572000.0,645000.0,buy
17,1428001160,2015-04-20,98053,regular,average design,550000.0,635000.0,buy
18,8682310470,2015-01-07,98053,regular,average design,445000.0,635000.0,buy
19,225069016,2014-07-22,98053,regular,average design,568000.0,635000.0,buy
20,7183000060,2015-03-25,98003,regular,average design,260000.0,269500.0,buy
21,6052400575,2014-05-14,98198,regular,average design,175000.0,266750.0,buy
22,6052401215,2014-06-09,98198,good,average design,255000.0,266750.0,buy
23,2011400782,2014-08-04,98198,regular,average design,229500.0,266750.0,buy
24,5101402312,2015-04-23,98115,regular,average design,485000.0,570000.0,buy
25,5101400838,2014-09-16,98115,good,average design,450000.0,570000.0,buy
26,438000015,2014-09-16,98115,regular,average design,555000.0,570000.0,buy
27,5101404444,2015-04-14,98115,regular,average design,564000.0,570000.0,buy
28,5101402276,2014-12-17,98115,regular,average design,495000.0,570000.0,buy
29,2464400435,2015-04-20,98115,regular,average design,567000.0,570000.0,buy
30,8024201714,2014-11-17,98115,regular,average design,489000.0,570000.0,buy
31,8024201795,2014-11-17,98115,regular,average design,397000.0,570000.0,buy
32,8924100430,2014-12-24,98115,regular,average design,500000.0,570000.0,buy
33,5100400315,2014-05-23,98115,regular,average design,379000.0,570000.0,buy
34,5100402310,2014-12-12,98115,good,average design,425000.0,570000.0,buy
35,9287801455,2014-10-28,98107,good,average design,484950.0,529975.0,buy
36,455000841,2014-08-29,98107,regular,average design,475000.0,529975.0,buy
37,1225039052,2014-11-12,98107,regular,average design,465000.0,529975.0,buy
38,8122101146,2014-09-29,98126,good,average design,320000.0,396587.5,buy
39,9285800345,2014-06-26,98126,regular,average design,320000.0,396587.5,buy
40,9284801845,2014-08-05,98126,good,average design,354000.0,396587.5,buy
41,9285800801,2014-09-26,98126,regular,average design,364500.0,396587.5,buy
42,2324039077,2015-04-27,98126,regular,average design,306000.0,396587.5,buy
43,226109056,2015-03-26,98019,regular,average design,170000.0,401250.0,buy
44,9468200125,2014-08-26,98103,good,average design,480000.0,550000.0,buy
45,3363900111,2014-12-03,98103,good,average design,437500.0,550000.0,buy
46,1930301555,2014-07-01,98103,regular,average design,500000.0,550000.0,buy
47,3797000830,2014-05-30,98103,good,average design,425000.0,550000.0,buy
48,1972202005,2014-05-21,98103,good,average design,475000.0,550000.0,buy
49,9521100280,2014-06-12,98103,regular,average design,480000.0,550000.0,buy
50,1972202010,2014-08-01,98103,regular,average design,435000.0,550000.0,buy
51,9530101670,2014-06-23,98103,regular,average design,525000.0,550000.0,buy
52,9523102420,2014-09-22,98103,good,average design,535000.0,550000.0,buy
53,1972202023,2014-09-04,98103,regular,average design,504500.0,550000.0,buy
54,3918400028,2014-10-21,98133,regular,average design,367000.0,375000.0,buy
55,8910500226,2015-04-09,98133,regular,average design,370350.0,375000.0,buy
56,4099500935,2014-07-23,98040,good,average design,705000.0,993750.0,buy
57,7598100735,2014-08-29,98040,good,average design,769000.0,993750.0,buy
58,3622910190,2014-05-21,98040,good,average design,895000.0,993750.0,buy
59,2581300055,2014-11-21,98040,good,average design,885000.0,993750.0,buy
60,321100260,2014-06-30,98040,good,average design,896000.0,993750.0,buy
61,1924059248,2014-06-02,98040,regular,average design,870000.0,993750.0,buy
62,5459500145,2014-06-13,98040,good,average design,975000.0,993750.0,buy
63,3024059044,2014-09-09,98040,good,average design,990000.0,993750.0,buy
64,4099500605,2015-04-17,98040,regular,average design,840000.0,993750.0,buy
65,2599200160,2014-08-18,98092,good,average design,295450.0,309780.0,buy
66,3521059042,2014-07-28,98092,good,average design,255500.0,309780.0,buy
67,3621059043,2014-05-27,98092,regular,average design,293000.0,309780.0,buy
68,2122059160,2015-04-27,98030,regular,average design,248000.0,283000.0,buy
69,2771601730,2014-06-29,98119,good,average design,530000.0,744975.0,buy
70,6905200050,2014-10-09,98119,regular,average design,606400.0,744975.0,buy
71,7011201016,2014-10-01,98119,regular,average design,585000.0,744975.0,buy
72,7011201333,2014-09-17,98119,regular,average design,590000.0,744975.0,buy
73,6169901185,2014-05-20,98119,regular,average design,490000.0,744975.0,buy
74,7011201004,2014-05-29,98119,regular,average design,645000.0,744975.0,buy
